Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,VideoPath,AudioPath,Label
76,There was no kangaroo!,Joey,anger,negative,6,10,8,22,"0:12:58,432","0:12:59,809",/home/klad/Desktop/Friends/Friends_Clips/video/S08E22_D6_U10.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S08E22_D6_U10.wav,anger
77,They didnât take any of my suggestions!,Joey,anger,negative,6,11,8,22,"0:12:59,809","0:13:03,196",/home/klad/Desktop/Friends/Friends_Clips/video/S08E22_D6_U11.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S08E22_D6_U11.wav,anger
78,Thatâs for coming buddy.,Joey,neutral,neutral,6,12,8,22,"0:13:05,940","0:13:07,242",/home/klad/Desktop/Friends/Friends_Clips/video/S08E22_D6_U12.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S08E22_D6_U12.wav,neutral
79,Iâll see you later.,Joey,neutral,neutral,6,13,8,22,"0:13:07,242","0:13:08,202",/home/klad/Desktop/Friends/Friends_Clips/video/S08E22_D6_U13.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S08E22_D6_U13.wav,neutral
80,Donât go!,Chandler,sadness,negative,6,14,8,22,"0:13:08,202","0:13:08,804",/home/klad/Desktop/Friends/Friends_Clips/video/S08E22_D6_U14.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S08E22_D6_U14.wav,neutral
81,Iâm sorry.,Chandler,sadness,negative,6,15,8,22,"0:13:08,804","0:13:09,526",/home/klad/Desktop/Friends/Friends_Clips/video/S08E22_D6_U15.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S08E22_D6_U15.wav,neutral
82,Iâm so sorry!,Chandler,sadness,negative,6,16,8,22,"0:13:09,526","0:13:10,832",/home/klad/Desktop/Friends/Friends_Clips/video/S08E22_D6_U16.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S08E22_D6_U16.wav,neutral
83,Look!,Chandler,surprise,negative,6,17,8,22,"0:13:10,945","0:13:11,407",/home/klad/Desktop/Friends/Friends_Clips/video/S08E22_D6_U17.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S08E22_D6_U17.wav,neutral
84,This guy fell asleep!,Chandler,anger,negative,6,18,8,22,"0:13:11,407","0:13:12,589",/home/klad/Desktop/Friends/Friends_Clips/video/S08E22_D6_U18.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S08E22_D6_U18.wav,anger
85,He fell asleep too!,Chandler,anger,negative,6,19,8,22,"0:13:12,589","0:13:13,215",/home/klad/Desktop/Friends/Friends_Clips/video/S08E22_D6_U19.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S08E22_D6_U19.wav,anger
86,Be mad at him!,Chandler,anger,negative,6,20,8,22,"0:13:13,215","0:13:14,108",/home/klad/Desktop/Friends/Friends_Clips/video/S08E22_D6_U20.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S08E22_D6_U20.wav,anger
87,"Or, call an ambulance.",Chandler,anger,negative,6,21,8,22,"00:13:16,367","00:13:18,244",/home/klad/Desktop/Friends/Friends_Clips/video/S08E22_D6_U21.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S08E22_D6_U21.wav,anger
88,"Okay, look, I think we have to tell Rachel she messed up her dessert.",Joey,neutral,neutral,7,0,6,9,"00:12:51,020","00:12:53,897",/home/klad/Desktop/Friends/Friends_Clips/video/S06E09_D7_U0.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S06E09_D7_U0.wav,cause
89,"What?! What is with everybody? Itâs Thanksgiving, not...Truth-Day!",Ross,anger,negative,7,1,6,9,"00:12:54,106","00:12:58,193",/home/klad/Desktop/Friends/Friends_Clips/video/S06E09_D7_U1.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S06E09_D7_U1.wav,anger
97,What've you been up to?,Chandler,neutral,neutral,9,0,2,5,"00:01:51,903","00:01:54,738",/home/klad/Desktop/Friends/Friends_Clips/video/S02E05_D9_U0.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S02E05_D9_U0.wav,neutral
98,"Oh, you know, the usual, teaching aerobics, partying way too much.",Jade,neutral,neutral,9,1,2,5,"00:01:54,948","00:02:01,203",/home/klad/Desktop/Friends/Friends_Clips/video/S02E05_D9_U1.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S02E05_D9_U1.wav,neutral
99,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",Jade,neutral,neutral,9,2,2,5,"00:02:01,621","00:02:07,459",/home/klad/Desktop/Friends/Friends_Clips/video/S02E05_D9_U2.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S02E05_D9_U2.wav,neutral
100,Can you hold on a moment? I have another call.  I love her.,Chandler,joy,positive,9,3,2,5,"00:02:10,547","00:02:14,758",/home/klad/Desktop/Friends/Friends_Clips/video/S02E05_D9_U3.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S02E05_D9_U3.wav,neutral
101,I know.,Ross,neutral,neutral,9,4,2,5,"00:02:13,091","00:02:14,758",/home/klad/Desktop/Friends/Friends_Clips/video/S02E05_D9_U4.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S02E05_D9_U4.wav,neutral
102,I'm back.,Chandler,neutral,neutral,9,5,2,5,"0:02:16,261","0:02:16,903",/home/klad/Desktop/Friends/Friends_Clips/video/S02E05_D9_U5.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S02E05_D9_U5.wav,neutral
103,"So, are we gonna get together or what?",Jade,neutral,neutral,9,6,2,5,"0:02:16,903","0:02:19,185",/home/klad/Desktop/Friends/Friends_Clips/video/S02E05_D9_U6.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S02E05_D9_U6.wav,neutral
104,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",Chandler,neutral,neutral,9,7,2,5,"00:02:19,347","00:02:25,561",/home/klad/Desktop/Friends/Friends_Clips/video/S02E05_D9_U7.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S02E05_D9_U7.wav,neutral
105,"Great, I'll see you then.",Jade,neutral,neutral,9,8,2,5,"00:02:25,770","00:02:28,647",/home/klad/Desktop/Friends/Friends_Clips/video/S02E05_D9_U8.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S02E05_D9_U8.wav,neutral
106,Ok.  Ok. Having a phone has finally paid off.,Chandler,joy,positive,9,9,2,5,"00:02:32,318","00:02:34,528",/home/klad/Desktop/Friends/Friends_Clips/video/S02E05_D9_U9.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S02E05_D9_U9.wav,neutral
107,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",Ross,neutral,neutral,9,10,2,5,"00:02:36,823","00:02:43,620",/home/klad/Desktop/Friends/Friends_Clips/video/S02E05_D9_U10.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S02E05_D9_U10.wav,neutral
108,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",Chandler,neutral,neutral,9,11,2,5,"00:02:47,375","00:02:52,337",/home/klad/Desktop/Friends/Friends_Clips/video/S02E05_D9_U11.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S02E05_D9_U11.wav,neutral
109,Oh my god. You are pure evil.,Ross,disgust,negative,9,12,2,5,"00:02:52,547","00:02:55,299",/home/klad/Desktop/Friends/Friends_Clips/video/S02E05_D9_U12.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S02E05_D9_U12.wav,neutral
110,"Ok, pure evil , horny and alone . I've done this",Chandler,anger,negative,9,13,2,5,"00:02:56,634","00:03:05,058",/home/klad/Desktop/Friends/Friends_Clips/video/S02E05_D9_U13.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S02E05_D9_U13.wav,anger
111,Nobody!,Phoebe,anger,negative,10,0,5,10,"0:11:57,091","0:11:58,551",/home/klad/Desktop/Friends/Friends_Clips/video/S05E10_D10_U0.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S05E10_D10_U0.wav,anger
112,Nobody respects the bucket!,Phoebe,anger,negative,10,1,5,10,"0:11:58,551","0:11:59,947",/home/klad/Desktop/Friends/Friends_Clips/video/S05E10_D10_U1.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S05E10_D10_U1.wav,cause
113,You wouldn't believe what people put in here!,Phoebe,anger,negative,10,2,5,10,"00:12:00,553","00:12:02,721",/home/klad/Desktop/Friends/Friends_Clips/video/S05E10_D10_U2.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S05E10_D10_U2.wav,cause
114,Look!,Phoebe,anger,negative,10,3,5,10,"00:12:02,888","00:12:04,597",/home/klad/Desktop/Friends/Friends_Clips/video/S05E10_D10_U3.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S05E10_D10_U3.wav,cause
115,"Okay, does this look like a garbage can to you?",Phoebe,anger,negative,10,4,5,10,"00:12:02,888","00:12:07,016",/home/klad/Desktop/Friends/Friends_Clips/video/S05E10_D10_U4.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S05E10_D10_U4.wav,cause
116,No.,Monica,neutral,neutral,10,5,5,10,"00:12:04,765","00:12:07,016",/home/klad/Desktop/Friends/Friends_Clips/video/S05E10_D10_U5.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S05E10_D10_U5.wav,neutral
117,This is my wedding.,Ross,neutral,neutral,11,0,4,23,"00:03:10,815","00:03:12,024",/home/klad/Desktop/Friends/Friends_Clips/video/S04E23_D11_U0.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S04E23_D11_U0.wav,neutral
118,"All right, yâknow what? We really are late! Letâs go! Letâs go! Letâs go!!",Monica,anger,negative,11,1,4,23,"00:03:13,318","00:03:16,737",/home/klad/Desktop/Friends/Friends_Clips/video/S04E23_D11_U1.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S04E23_D11_U1.wav,anger
119,Fine. Youâll-youâll watch it on video when we get back.,Ross,neutral,neutral,11,2,4,23,"00:03:18,781","00:03:21,491",/home/klad/Desktop/Friends/Friends_Clips/video/S04E23_D11_U2.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S04E23_D11_U2.wav,neutral
120,Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.,Chandler,joy,positive,11,3,4,23,"00:03:22,869","00:03:25,704",/home/klad/Desktop/Friends/Friends_Clips/video/S04E23_D11_U3.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S04E23_D11_U3.wav,neutral
121,Thank you.,Phoebe,neutral,neutral,11,4,4,23,"0:03:27,790","0:03:28,791",/home/klad/Desktop/Friends/Friends_Clips/video/S04E23_D11_U4.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S04E23_D11_U4.wav,neutral
122,Thank you.,Phoebe,neutral,neutral,11,5,4,23,"0:03:28,791","0:03:28,931",/home/klad/Desktop/Friends/Friends_Clips/video/S04E23_D11_U5.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S04E23_D11_U5.wav,neutral
123,"All right, letâs go! Bye, Pheebs!",Ross,joy,positive,11,6,4,23,"00:03:32,503","00:03:34,463",/home/klad/Desktop/Friends/Friends_Clips/video/S04E23_D11_U6.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S04E23_D11_U6.wav,neutral
124,"Bye, Pheebs!",Joey,joy,positive,11,7,4,23,"00:03:34,631","00:03:36,340",/home/klad/Desktop/Friends/Friends_Clips/video/S04E23_D11_U7.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S04E23_D11_U7.wav,neutral
125,London baby!!,Joey,joy,positive,11,8,4,23,"00:03:40,803","00:03:42,554",/home/klad/Desktop/Friends/Friends_Clips/video/S04E23_D11_U8.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S04E23_D11_U8.wav,neutral
126,"Oh, do you need a hug? You donât have to bring me anything!",Phoebe,joy,positive,11,9,4,23,"00:03:44,849","00:03:51,563",/home/klad/Desktop/Friends/Friends_Clips/video/S04E23_D11_U9.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S04E23_D11_U9.wav,neutral
127,Hey!,Chandler,neutral,neutral,12,0,6,4,"00:09:47,295","00:09:49,045",/home/klad/Desktop/Friends/Friends_Clips/video/S06E04_D12_U0.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S06E04_D12_U0.wav,neutral
128,Hey! So Estelle lined up a bunch of auditions for me tomorrow and Iâll have my health insurance back in no time.,Joey,joy,positive,12,1,6,4,"00:09:47,295","00:09:56,177",/home/klad/Desktop/Friends/Friends_Clips/video/S06E04_D12_U1.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S06E04_D12_U1.wav,neutral
129,"Thatâs great, but shouldnât you be on the toilet right now?",Chandler,disgust,negative,12,2,6,4,"00:09:57,346","00:10:00,890",/home/klad/Desktop/Friends/Friends_Clips/video/S06E04_D12_U2.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S06E04_D12_U2.wav,cause
130,What?!,Joey,surprise,negative,12,3,6,4,"0:10:04,312","0:10:05,647",/home/klad/Desktop/Friends/Friends_Clips/video/S06E04_D12_U3.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S06E04_D12_U3.wav,cause
131,Whatâs wrong with you?,Chandler,disgust,negative,12,4,6,4,"0:10:05,647","0:10:06,929",/home/klad/Desktop/Friends/Friends_Clips/video/S06E04_D12_U4.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S06E04_D12_U4.wav,cause
132,Nothing!,Joey,neutral,neutral,12,5,6,4,"00:10:07,023","00:10:08,023",/home/klad/Desktop/Friends/Friends_Clips/video/S06E04_D12_U5.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S06E04_D12_U5.wav,neutral
133,"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, havenât been able to stand up since.",Joey,fear,negative,12,6,6,4,"00:10:08,190","00:10:18,575",/home/klad/Desktop/Friends/Friends_Clips/video/S06E04_D12_U6.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S06E04_D12_U6.wav,neutral
134,"But um, I donât think itâs anything serious.",Joey,neutral,neutral,12,7,6,4,"00:10:18,743","00:10:21,536",/home/klad/Desktop/Friends/Friends_Clips/video/S06E04_D12_U7.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S06E04_D12_U7.wav,neutral
135,This sounds like a hernia. You have toâyou-you go to the doctor!,Chandler,surprise,negative,12,8,6,4,"00:10:21,704","00:10:24,706",/home/klad/Desktop/Friends/Friends_Clips/video/S06E04_D12_U8.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S06E04_D12_U8.wav,neutral
136,"No way! âKay look, if I have to go to the doctor for anything itâs gonna be for this thing sticking out of my stomach!",Joey,fear,negative,12,9,6,4,"00:10:24,874","00:10:31,463",/home/klad/Desktop/Friends/Friends_Clips/video/S06E04_D12_U9.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S06E04_D12_U9.wav,neutral
137,Thatâs a hernia.,Chandler,disgust,negative,12,10,6,4,"00:10:34,842","00:10:36,009",/home/klad/Desktop/Friends/Friends_Clips/video/S06E04_D12_U10.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S06E04_D12_U10.wav,neutral
138,Why did I have to start working out again?  Damn you 15s!,Joey,anger,negative,12,11,6,4,"00:10:36,177","00:10:41,556",/home/klad/Desktop/Friends/Friends_Clips/video/S06E04_D12_U11.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S06E04_D12_U11.wav,anger
149,Get Out!,Ross,anger,negative,15,0,9,23,"00:42:09,652","00:42:13,488",/home/klad/Desktop/Friends/Friends_Clips/video/S09E23_D15_U0.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S09E23_D15_U0.wav,anger
150,"Ross, can I talk to you for a minute?",Charlie,neutral,neutral,15,1,9,23,"00:42:15,032","00:42:16,908",/home/klad/Desktop/Friends/Friends_Clips/video/S09E23_D15_U1.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S09E23_D15_U1.wav,neutral
151,"Yes, please!  So, what's going on?",Ross,neutral,neutral,15,2,9,23,"00:42:17,117","00:42:23,998",/home/klad/Desktop/Friends/Friends_Clips/video/S09E23_D15_U2.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S09E23_D15_U2.wav,neutral
152,"Uh, well... Joey and I broke up.",Charlie,sadness,negative,15,3,9,23,"00:42:26,126","00:42:29,754",/home/klad/Desktop/Friends/Friends_Clips/video/S09E23_D15_U3.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S09E23_D15_U3.wav,neutral
153,"Oh my God, wh-what happened?",Ross,surprise,negative,15,4,9,23,"00:42:30,464","00:42:35,885",/home/klad/Desktop/Friends/Friends_Clips/video/S09E23_D15_U4.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S09E23_D15_U4.wav,neutral
154,"Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!",Charlie,sadness,negative,15,5,9,23,"00:42:36,053","00:42:44,561",/home/klad/Desktop/Friends/Friends_Clips/video/S09E23_D15_U5.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S09E23_D15_U5.wav,neutral
155,I knew that was him!,Ross,anger,negative,15,6,9,23,"00:42:42,059","00:42:44,561",/home/klad/Desktop/Friends/Friends_Clips/video/S09E23_D15_U6.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S09E23_D15_U6.wav,anger
156,"Anyway I just, uh, I think it's for the best.",Charlie,sadness,negative,15,7,9,23,"00:42:46,313","00:42:50,108",/home/klad/Desktop/Friends/Friends_Clips/video/S09E23_D15_U7.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S09E23_D15_U7.wav,neutral
157,"Hey, you ok?",Ross,neutral,neutral,15,8,9,23,"0:42:51,068","0:42:52,950",/home/klad/Desktop/Friends/Friends_Clips/video/S09E23_D15_U8.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S09E23_D15_U8.wav,neutral
158,I guess.,Charlie,sadness,negative,15,9,9,23,"0:42:52,950","0:42:55,208",/home/klad/Desktop/Friends/Friends_Clips/video/S09E23_D15_U9.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S09E23_D15_U9.wav,neutral
159,There was hum...  there was another reason that I thought it was time to end it with Joey.,Charlie,neutral,neutral,15,10,9,23,"00:42:57,866","00:43:05,915",/home/klad/Desktop/Friends/Friends_Clips/video/S09E23_D15_U10.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S09E23_D15_U10.wav,neutral
160,I started to realize that I was having feelings for someone  else.,Charlie,neutral,neutral,15,11,9,23,"00:43:06,667","00:43:12,547",/home/klad/Desktop/Friends/Friends_Clips/video/S09E23_D15_U11.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S09E23_D15_U11.wav,neutral
161,"Ok Geller. Last day of the conference, you know what happens to the keynote speaker.",Paleontologist,neutral,neutral,15,12,9,23,"00:43:14,174","00:43:19,220",/home/klad/Desktop/Friends/Friends_Clips/video/S09E23_D15_U12.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S09E23_D15_U12.wav,neutral
162,"Oh, professor Clerk we're kind of in the middle of a conversation, here.",Ross,neutral,neutral,15,13,9,23,"00:43:19,388","00:43:22,765",/home/klad/Desktop/Friends/Friends_Clips/video/S09E23_D15_U13.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S09E23_D15_U13.wav,neutral
163,"Yeah, can you guys just throw him in the pool later?",Charlie,neutral,neutral,15,14,9,23,"0:43:22,933","0:43:24,905",/home/klad/Desktop/Friends/Friends_Clips/video/S09E23_D15_U14.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S09E23_D15_U14.wav,neutral
164,Or we could throw you both in,Professore Clerk,joy,positive,15,15,9,23,"0:43:24,905","0:43:27,073",/home/klad/Desktop/Friends/Friends_Clips/video/S09E23_D15_U15.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S09E23_D15_U15.wav,neutral
165,"Ok, gentlemen!",Ross,anger,negative,15,16,9,23,"0:43:27,187","0:43:28,147",/home/klad/Desktop/Friends/Friends_Clips/video/S09E23_D15_U16.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S09E23_D15_U16.wav,anger
166,Please!,Ross,anger,negative,15,17,9,23,"0:43:28,147","0:43:28,699",/home/klad/Desktop/Friends/Friends_Clips/video/S09E23_D15_U17.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S09E23_D15_U17.wav,anger
167,Aren't we a little old for this?,Ross,anger,negative,15,18,9,23,"0:43:28,699","0:43:30,985",/home/klad/Desktop/Friends/Friends_Clips/video/S09E23_D15_U18.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S09E23_D15_U18.wav,anger
168,"I mean, we're scientists, right?",Ross,neutral,neutral,15,19,9,23,"0:43:31,066","0:43:32,788",/home/klad/Desktop/Friends/Friends_Clips/video/S09E23_D15_U19.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S09E23_D15_U19.wav,neutral
169,We're academics.,Ross,anger,negative,15,20,9,23,"0:43:32,788","0:43:33,798",/home/klad/Desktop/Friends/Friends_Clips/video/S09E23_D15_U20.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S09E23_D15_U20.wav,anger
170,And most importantly I... you-you will have to catch us first.,Ross,joy,positive,15,21,9,23,"00:43:33,902","00:43:37,780",/home/klad/Desktop/Friends/Friends_Clips/video/S09E23_D15_U21.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S09E23_D15_U21.wav,neutral
172,"GO, GO, GO!",Ross,joy,positive,15,22,9,23,"00:43:37,948","00:43:40,366",/home/klad/Desktop/Friends/Friends_Clips/video/S09E23_D15_U22.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S09E23_D15_U22.wav,neutral
179,"Okay, see that blind guy right there? I'm gonna bash his head in later.",Joey,anger,negative,17,0,5,19,"00:06:15,416","00:06:19,127",/home/klad/Desktop/Friends/Friends_Clips/video/S05E19_D17_U0.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S05E19_D17_U0.wav,anger
180,"Oh umm, my big scene is coming up. Big scene coming up.",Joey,joy,positive,17,1,5,19,"00:06:21,506","00:06:25,542",/home/klad/Desktop/Friends/Friends_Clips/video/S05E19_D17_U1.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S05E19_D17_U1.wav,neutral
181,"If you said, ""Big lima bean, bubbling up."" Would she understand the difference?",Chandler,neutral,neutral,17,2,5,19,"00:06:25,551","00:06:29,012",/home/klad/Desktop/Friends/Friends_Clips/video/S05E19_D17_U2.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S05E19_D17_U2.wav,neutral
182,Rach? What are you doing?,Monica,neutral,neutral,17,3,5,19,"00:06:32,183","00:06:33,517",/home/klad/Desktop/Friends/Friends_Clips/video/S05E19_D17_U3.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S05E19_D17_U3.wav,neutral
183,"Oh boy, I just can't watch. It's too scary!",Rachel,fear,negative,17,4,5,19,"00:06:33,976","00:06:37,020",/home/klad/Desktop/Friends/Friends_Clips/video/S05E19_D17_U4.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S05E19_D17_U4.wav,neutral
184,It's a diaper commercial.,Monica,neutral,neutral,17,5,5,19,"00:06:37,480","00:06:39,731",/home/klad/Desktop/Friends/Friends_Clips/video/S05E19_D17_U5.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S05E19_D17_U5.wav,neutral
185,"Oh yeah well, you know me, babies, responsibilities, ahhh!!!",Rachel,fear,negative,17,6,5,19,"00:06:40,817","00:06:43,735",/home/klad/Desktop/Friends/Friends_Clips/video/S05E19_D17_U6.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S05E19_D17_U6.wav,neutral
186,Pizza delivery!,Caitlin,joy,positive,17,7,5,19,"0:06:47,281","0:06:49,793",/home/klad/Desktop/Friends/Friends_Clips/video/S05E19_D17_U7.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S05E19_D17_U7.wav,neutral
187,I'll get it! I will get that!,Ross,joy,positive,17,8,5,19,"0:06:49,793","0:06:50,887",/home/klad/Desktop/Friends/Friends_Clips/video/S05E19_D17_U8.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S05E19_D17_U8.wav,neutral
188,Hi!,Caitlin,joy,positive,17,9,5,19,"0:06:53,538","0:06:54,665",/home/klad/Desktop/Friends/Friends_Clips/video/S05E19_D17_U9.mkv,/home/klad/Desktop/Friends/Friends_Clips/audio/S05E19_D17_U9.wav,neutral
